,V1,V2,V3,V4
1,0.999871133527135,1.21205170253053e-07,4.96754901324951e-06,0.00036414083326639
2,6.34715116150334e-08,1.13432503957961e-09,7.09103181156651e-05,0.999990555492818
3,0.999991012634102,1.33622724793543e-13,7.57654789301615e-06,0.0126702532462605
4,1.95504188678638e-08,0.99999999849183,4.76330461696938e-07,9.03589914988658e-10
5,0.0177188172304276,1.72288858082147e-13,0.999910559446995,5.39977690734144e-09
6,0.999999994108952,4.68387172530525e-08,5.45923518659581e-08,1.28498543776264e-09
7,0.906155847875743,6.84595798786752e-14,0.98110096389524,2.18381311437097e-08
8,1.13413977794163e-05,0.999999667654483,5.93209080484722e-10,1.48975035942494e-06
9,8.45424494473116e-08,4.36495875200861e-06,0.999994671989707,2.7613631859179e-05
10,9.42590715806468e-06,0.999999520039882,2.13883287833382e-11,3.53833500532351e-05
11,0.959757011881925,2.41492723644624e-07,2.26125306030955e-05,2.99167059474346e-10
12,0.434644446651546,0.204002909882301,0.000321333995892935,3.24943592404048e-11
13,0.999998731115447,3.36617423349957e-10,2.22448973653311e-06,4.28666694074195e-11
14,0.000645151107695871,3.29658431339428e-08,0.535675530316129,0.0019838636635878
15,0.999182424622343,1.22267896881426e-08,2.67502799736239e-07,0.0756941873539499
16,0.794080454530997,1.51755371164108e-10,2.51365365305274e-08,0.992502681382356
17,1.62160183946324e-07,0.000254789683712277,0.000120244267253295,0.819019980845472
18,0.999970212399848,1.45273923799961e-07,2.39392678540057e-06,3.17508201244974e-10
19,4.93991734069576e-05,9.66870604154755e-10,0.881706952249159,0.0151187427006824
20,0.000161813674101359,0.0913245717212061,0.996379521287568,4.26890056178283e-16
